"Relative Time","Throughput"
"00:00","74639.5"
"00:08","10065"
"00:16","85006.63"
"00:24","94367"
"00:32","1197.625"
"00:40","92641.5"
"00:48","3065.375"
"00:56","91350.88"
"01:04","90883.25"
"01:12","114581"
"01:20","52276.88"
"01:28","150508.1"
"01:36","97734.38"
"01:44","91131.13"
"01:52","112996.6"
"02:00","43501.38"
"02:08","246127.6"
"02:16","35892.75"
"02:24","126347"
"02:32","40177.63"
"02:40","16253.75"
"02:48","17993.75"
"02:56","6304.125"
"03:04","9090.375"
"03:12","9430"
"03:20","0"
"03:28","12592.38"
"03:36","9758.5"
"03:44","580"
"03:52","6856.625"
"04:00","6737.625"
"04:08","0"
"04:16","1400.625"
"04:24","0"
"04:32","2978.125"
"04:40","6255.125"
"04:48","2801.25"
